date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-09-23,425.85,25.85488549870439,19.621158789891787,6.233726708812604,55.0,24.0,31.0,Above Signal,12,60.0,False
2025-09-24,442.79,27.147494267427987,21.12642588539903,6.0210683820289574,55.0,24.0,31.0,Above Signal,13,60.0,False
2025-09-25,423.39,26.303270433608247,22.161794795040876,4.141475638567371,50.0,32.0,18.0,Above Signal,14,75.0,True
2025-09-26,440.4,26.699012211286743,23.06923827829005,3.6297739329966916,45.0,28.0,17.0,Above Signal,15,70.0,True
2025-09-29,443.21,26.92896360734494,23.84118334410103,3.0877802632439106,45.0,31.0,14.0,Above Signal,16,80.0,True
2025-09-30,444.72,26.922698021836766,24.45748627964818,2.465211742188586,40.0,31.0,9.0,Above Signal,17,80.0,True
2025-10-01,459.46,27.786818169694016,25.123352657657346,2.6634655120366695,40.0,28.0,12.0,Above Signal,18,75.0,True
2025-10-02,436.0,26.27572349157998,25.353826824441875,0.9218966671381068,35.0,35.0,0.0,Above Signal,19,100.0,True
2025-10-03,429.83,24.300185228196256,25.143098505192754,-0.842913276996498,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-10-06,453.25,24.343735759981712,24.983225956150545,-0.6394901961688326,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-10-07,433.09,22.492229928645713,24.48502675064958,-1.9927968220038679,0.0,61.0,-61.0,Below Signal,2,25.0,False
2025-10-08,438.69,21.232021884964865,23.83442577751264,-2.6024038925477733,0.0,61.0,-61.0,Below Signal,3,25.0,False
2025-10-09,435.54,19.751436985956104,23.017828019201332,-3.2663910332452275,0.0,63.0,-63.0,Below Signal,4,25.0,False
2025-10-10,413.49,16.607372612248867,21.735736937810838,-5.1283643255619715,0.0,68.0,-68.0,Below Signal,5,25.0,False
2025-10-13,435.9,15.742508813905602,20.53709131302979,-4.794582499124189,0.0,64.0,-64.0,Below Signal,6,25.0,False
2025-10-14,429.24,14.354225110771608,19.300518072578157,-4.946292961806549,0.0,64.0,-64.0,Below Signal,7,25.0,False
2025-10-15,435.15,13.57441052728177,18.15529656351888,-4.580886036237111,0.0,64.0,-64.0,Below Signal,8,25.0,False
2025-10-16,428.75,12.29820923791192,16.983879098397487,-4.685669860485568,28.0,48.0,-20.0,Below Signal,9,60.0,True
2025-10-17,439.31,12.000579062617419,15.987219091241474,-3.9866400286240555,32.0,43.0,-11.0,Below Signal,10,70.0,True
2025-10-20,447.43,12.27838357983552,15.245451988960285,-2.9670684091247654,35.0,32.0,3.0,Below Signal,11,85.0,True
2025-10-21,442.6,11.970812947116542,14.590524180591537,-2.6197112334749946,28.0,32.0,-4.0,Below Signal,12,75.0,True
2025-10-22,438.97,11.303846634335457,13.933188671340321,-2.6293420370048644,28.0,32.0,-4.0,Below Signal,13,75.0,True
2025-10-23,448.98,11.450994433332085,13.436749823738674,-1.9857553904065899,31.0,32.0,-1.0,Below Signal,14,80.0,True
2025-10-24,433.72,10.218463570057907,12.793092573002522,-2.574629002944615,28.0,32.0,-4.0,Below Signal,15,70.0,True
2025-10-27,452.42,10.628093650739913,12.36009278855,-1.731999137810087,35.0,32.0,3.0,Below Signal,16,90.0,True
2025-10-28,460.55,11.47645803132275,12.183365837104551,-0.7069078057818015,35.0,27.0,8.0,Below Signal,17,100.0,True
2025-10-29,461.51,12.086926329143239,12.164077935512289,-0.07715160636904983,31.0,27.0,4.0,Below Signal,18,90.0,True
2025-10-30,440.1,10.719550478955341,11.8751724442009,-1.1556219652455582,31.0,27.0,4.0,Below Signal,19,85.0,True
2025-10-31,456.56,10.839132927053697,11.66796454077146,-0.828831613717762,31.0,27.0,4.0,Below Signal,20,85.0,True
