date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-05-27,200.21,-0.9999631687719557,-0.08390748609086796,-0.9160556826810877,8.0,69.0,-61.0,Below Signal,2,25.0,False
2025-05-28,200.42,-1.1793656151627658,-0.30299911190524753,-0.8763665032575183,8.0,69.0,-61.0,Below Signal,3,25.0,False
2025-05-29,199.95,-1.3439759009086742,-0.511194469705933,-0.8327814312027413,8.0,66.0,-58.0,Below Signal,4,25.0,False
2025-05-30,200.85,-1.3858332370240305,-0.6861222231695525,-0.699711013854478,35.0,45.0,-10.0,Below Signal,5,80.0,True
2025-06-02,201.7,-1.3350282070628623,-0.8159034199482145,-0.5191247871146478,28.0,41.0,-13.0,Below Signal,6,75.0,True
2025-06-03,203.27,-1.1547675345056803,-0.8836762428597077,-0.27109129164597257,31.0,41.0,-10.0,Below Signal,7,85.0,True
2025-06-04,202.82,-1.0362753547585442,-0.914196065239475,-0.1220792895190691,31.0,41.0,-10.0,Below Signal,8,90.0,True
2025-06-05,200.63,-1.1063310503440107,-0.9526230622603822,-0.1537079880836285,31.0,41.0,-10.0,Below Signal,9,90.0,True
2025-06-06,203.92,-0.8861600876221871,-0.9393304673327432,0.05317037971055605,69.0,8.0,61.0,Above Signal,0,25.0,False
2025-06-09,201.45,-0.9005998166848599,-0.9315843372031666,0.03098452051830669,69.0,8.0,61.0,Above Signal,1,25.0,False
2025-06-10,202.67,-0.8043278116292925,-0.9061330320883918,0.10180522045909934,64.0,8.0,56.0,Above Signal,2,25.0,False
2025-06-11,198.78,-1.0300482884475457,-0.9309160833602227,-0.09913220508732301,24.0,53.0,-29.0,Below Signal,0,80.0,False
2025-06-12,199.2,-1.1616521003313949,-0.9770632867544572,-0.18458881357693768,8.0,69.0,-61.0,Below Signal,1,25.0,False
2025-06-13,196.45,-1.4708955187550998,-1.0758297331545856,-0.3950657856005142,8.0,64.0,-56.0,Below Signal,2,25.0,False
2025-06-16,198.42,-1.5392669090443007,-1.1685171683325288,-0.3707497407117719,8.0,64.0,-56.0,Below Signal,3,25.0,False
2025-06-17,195.64,-1.7970591161478922,-1.2942255578956017,-0.5028335582522905,8.0,61.0,-53.0,Below Signal,4,25.0,False
2025-06-18,196.58,-1.903568006429623,-1.416094047602406,-0.487473958827217,8.0,61.0,-53.0,Below Signal,5,25.0,False
2025-06-20,201.0,-1.612729467403284,-1.4554211315625818,-0.15730833584070214,35.0,41.0,-6.0,Below Signal,6,95.0,True
2025-06-23,201.5,-1.3265997918994117,-1.4296568636299478,0.10305707173053613,73.0,8.0,65.0,Above Signal,0,20.0,False
2025-06-24,200.3,-1.183032669588414,-1.380332024821641,0.19729935523322717,69.0,8.0,61.0,Above Signal,1,25.0,False
2025-06-25,201.56,-0.9565566316571505,-1.295576946188743,0.3390203145315924,64.0,8.0,56.0,Above Signal,2,25.0,False
2025-06-26,201.0,-0.8128895747975093,-1.1990394719104964,0.3861498971129871,64.0,8.0,56.0,Above Signal,3,25.0,False
2025-06-27,201.08,-0.6846844496248821,-1.0961684674533736,0.41148401782849153,61.0,8.0,53.0,Above Signal,4,25.0,False
2025-06-30,205.17,-0.2501683606762697,-0.9269684460979528,0.6768000854216831,65.0,8.0,57.0,Above Signal,5,20.0,False
2025-07-01,207.82,0.3045114054308158,-0.6806724757921991,0.9851838812230149,62.0,8.0,54.0,Above Signal,6,25.0,False
