date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-07-09,503.51,11.296941265308533,11.84340282846238,-0.5464615631538479,35.0,37.0,-2.0,Below Signal,5,85.0,True
2025-07-10,501.48,11.0900173884732,11.692725740464546,-0.6027083519913461,0.0,53.0,-53.0,Below Signal,6,20.0,False
2025-07-11,503.32,10.948296204189376,11.543839833209512,-0.5955436290201366,0.0,49.0,-49.0,Below Signal,7,25.0,False
2025-07-14,503.02,10.688562556055956,11.372784377778801,-0.6842218217228453,28.0,33.0,-5.0,Below Signal,8,75.0,True
2025-07-15,505.82,10.586622375255672,11.215551977274176,-0.6289296020185038,0.0,49.0,-49.0,Below Signal,9,25.0,False
2025-07-16,505.62,10.370155027047474,11.046472587228836,-0.6763175601813618,0.0,53.0,-53.0,Below Signal,10,20.0,False
2025-07-17,511.7,10.567393941960688,10.950656858175208,-0.3832629162145196,35.0,27.0,8.0,Below Signal,11,90.0,True
2025-07-18,510.05,10.46987578194154,10.854500642928475,-0.3846248609869356,31.0,27.0,4.0,Below Signal,12,80.0,True
2025-07-21,510.06,10.274955562189291,10.73859162678064,-0.46363606459134843,28.0,27.0,1.0,Below Signal,13,75.0,True
2025-07-22,505.27,9.62303851751517,10.515481004927546,-0.8924424874123762,0.0,47.0,-47.0,Below Signal,14,20.0,False
2025-07-23,505.87,9.050476291431323,10.222480062228303,-1.1720037707969801,0.0,48.0,-48.0,Below Signal,15,25.0,False
2025-07-24,510.88,8.898406441463237,9.95766533807529,-1.0592588966120537,0.0,43.0,-43.0,Below Signal,16,25.0,False
2025-07-25,513.71,8.90361204115817,9.746854678691866,-0.843242637533697,0.0,43.0,-43.0,Below Signal,17,25.0,False
2025-07-28,512.5,8.709700621646675,9.539423867282828,-0.8297232456361527,28.0,27.0,1.0,Below Signal,18,75.0,True
2025-07-29,512.57,8.464103918363946,9.324359877499052,-0.860255959135106,28.0,27.0,1.0,Below Signal,19,75.0,True
2025-07-30,513.24,8.22867511757704,9.105222925514651,-0.8765478079376106,28.0,27.0,1.0,Below Signal,20,75.0,True
2025-07-31,533.5,9.566630614196129,9.197504463250947,0.3691261509451813,65.0,0.0,65.0,Above Signal,0,20.0,False
2025-08-01,524.11,9.756805084604878,9.309364587521733,0.4474404970831447,61.0,0.0,61.0,Above Signal,1,25.0,False
2025-08-04,535.64,10.714385594644682,9.590368788946323,1.1240168056983588,56.0,0.0,56.0,Above Signal,2,25.0,False
2025-08-05,527.75,10.71312376524969,9.814919784206998,0.898203981042693,56.0,0.0,56.0,Above Signal,3,25.0,False
2025-08-06,524.94,10.365888727800666,9.925113572925731,0.44077515487493457,53.0,0.0,53.0,Above Signal,4,25.0,False
2025-08-07,520.84,9.648643171647677,9.869819492670121,-0.221176321022444,0.0,65.0,-65.0,Below Signal,0,20.0,False
2025-08-08,522.04,9.072469095782537,9.710349413292604,-0.6378803175100671,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-08-11,521.77,8.496122237531722,9.467503978140428,-0.971381740608706,0.0,56.0,-56.0,Below Signal,2,25.0,False
2025-08-12,529.24,8.543643961266525,9.282731974765648,-0.7390880134991225,0.0,56.0,-56.0,Below Signal,3,25.0,False
2025-08-13,520.58,7.79268640622945,8.984722861058408,-1.1920364548289584,0.0,58.0,-58.0,Below Signal,4,25.0,False
2025-08-14,522.48,7.267090755915774,8.641196440029882,-1.3741056841141077,0.0,58.0,-58.0,Below Signal,5,25.0,False
2025-08-15,520.17,6.588209938650948,8.230599139754096,-1.642389201103148,0.0,54.0,-54.0,Below Signal,6,25.0,False
2025-08-18,517.1,5.73634365801729,7.731748043406736,-1.9954043853894454,0.0,54.0,-54.0,Below Signal,7,25.0,False
2025-08-19,509.77,4.418826273953641,7.069163689516118,-2.6503374155624764,0.0,59.0,-59.0,Below Signal,8,25.0,False
2025-08-20,505.72,3.0131493915795318,6.257960829928801,-3.244811438349269,0.0,59.0,-59.0,Below Signal,9,25.0,False
2025-08-21,504.24,1.759435031980729,5.358255670339187,-3.5988206383584576,0.0,64.0,-64.0,Below Signal,10,25.0,False
2025-08-22,507.23,0.9956481686826919,4.485734170007888,-3.4900860013251958,0.0,53.0,-53.0,Below Signal,11,25.0,False
2025-08-25,504.26,0.14897016275199348,3.618381368556709,-3.4694112058047155,0.0,53.0,-53.0,Below Signal,12,25.0,False
2025-08-26,502.04,-0.6931732340626695,2.7560704480328333,-3.449243682095503,0.0,53.0,-53.0,Below Signal,13,25.0,False
2025-08-27,506.74,-0.970144006677458,2.010827557090775,-2.9809715637682332,32.0,37.0,-5.0,Below Signal,14,70.0,True
2025-08-28,509.64,-0.944749096256885,1.4197122264212432,-2.364461322678128,32.0,32.0,0.0,Below Signal,15,70.0,True
2025-08-29,506.69,-1.1494140627790443,0.9058869685811858,-2.05530103136023,28.0,32.0,-4.0,Below Signal,16,75.0,True
2025-09-02,505.12,-1.4219075372590737,0.44032806741313396,-1.8622356046722077,28.0,32.0,-4.0,Below Signal,17,75.0,True
2025-09-03,505.35,-1.6008479228231067,0.032092869365885845,-1.6329407921889927,28.0,32.0,-4.0,Below Signal,18,75.0,True
2025-09-04,507.97,-1.513797251423739,-0.27708515479203916,-1.2367120966316998,28.0,32.0,-4.0,Below Signal,19,75.0,True
2025-09-05,495.0,-2.4629877823624042,-0.7142656803061123,-1.748722102056292,28.0,32.0,-4.0,Below Signal,20,70.0,True
2025-09-08,498.2,-2.92331668515061,-1.1560758812750118,-1.767240803875598,28.0,26.0,2.0,Below Signal,21,70.0,True
2025-09-09,498.41,-3.233906945908984,-1.5716420942018063,-1.6622648517071779,0.0,42.0,-42.0,Below Signal,22,25.0,False
2025-09-10,500.37,-3.2840399770340696,-1.9141216707682591,-1.3699183062658105,0.0,42.0,-42.0,Below Signal,23,25.0,False
